Date;Mkt-RF;SMB;HML;RMW;CMA;RF
06/29/12;0.0713;-0.0435;0.0313;-0.0045;0.0202;0
07/31/12;0.0056;-0.0134;-0.0258;0.0246;-0.0216;0
08/31/12;0.045;0.0006;0.0319;-0.0186;0.0148;0.0001
09/28/12;0.0349;0.0165;0.0216;-0.0152;0.0082;0.0001
10/31/12;0.0166;-0.0056;0.0178;-0.0113;-0.0033;0.0001
11/30/12;0.0227;-0.0244;-0.0058;0.0056;-0.0093;0.0001
12/31/12;0.0338;0.025;0.0303;-0.0073;0.0083;0.0001
01/31/13;0.062;0.0063;0.0433;-0.0348;0.0177;0
02/28/13;-0.0249;0.0197;-0.0335;0.02;-0.0135;0
03/28/13;-0.0054;-0.0082;-0.043;0.0224;-0.0028;0
04/30/13;0.0416;-0.0138;0.0367;-0.0106;0.0121;0
05/31/13;0.0105;0.0122;0.0282;-0.0105;-0.0013;0
06/28/13;-0.0464;0.0214;-0.0256;0.0222;0.0045;0
07/31/13;0.0745;-0.0145;0.028;-0.0062;0.0029;0
08/30/13;-0.007;0.0264;0.0051;-0.0001;0.0092;0
09/30/13;0.0705;0.0014;0.0138;-0.0092;0.0156;0
10/31/13;0.0449;0.0002;0.0439;-0.0174;0.0176;0
11/29/13;0.0133;0.008;-0.0042;0.0068;0.0063;0
12/31/13;0.0237;0.0056;-0.002;0.0038;0.0028;0
01/31/14;-0.0303;0.0364;0.0258;-0.0122;0.0205;0
02/28/14;0.0742;0.0054;0.0037;0.0069;0.0095;0
03/31/14;-0.0054;0.0065;0.0172;0.0106;0.0012;0
04/30/14;0.0177;-0.0205;0.0029;0.0045;-0.0114;0
05/30/14;0.0077;-0.006;-0.0041;0.0067;-0.0039;0
06/30/14;-0.0012;0.0021;-0.0176;0.0207;-0.0096;0
07/31/14;-0.041;-0.0061;0.004;-0.0163;0.004;0
08/29/14;-0.0002;-0.0093;-0.0101;0.0023;-0.0077;0
09/30/14;-0.0379;-0.0217;-0.0044;-0.0044;0.0038;0
10/31/14;-0.027;-0.0114;-0.0309;0.0233;-0.0053;0
11/28/14;0.0212;-0.0135;-0.0182;0.0067;0.0024;0
12/31/14;-0.037;0.0231;-0.0235;0.0157;-0.0193;0
01/30/15;-0.0031;-0.0154;-0.0352;0.0284;-0.0107;0
02/27/15;0.0621;0.0087;0.0196;-0.0197;-0.0013;0
03/31/15;-0.0228;-0.0032;-0.0035;0.0001;0.0079;0
04/30/15;0.0479;0.0207;0.0033;0.0002;-0.0041;0
05/29/15;-0.0015;0.0151;-0.0247;0.0006;-0.0066;0
06/30/15;-0.0284;0.0195;0.0015;-0.0015;-0.0022;0
07/31/15;0.0239;-0.0093;-0.0265;0.0094;-0.0075;0
08/31/15;-0.0602;0.0363;-0.01;0.0079;-0.009;0
09/30/15;-0.0427;0.0117;-0.0363;0.027;-0.0098;0
10/30/15;0.0619;-0.0294;-0.0077;0.0198;-0.0006;0
11/30/15;-0.0149;0.0031;-0.028;0.0303;-0.0212;0
12/31/15;-0.0186;0.0374;-0.0125;0.0067;-0.0165;0.0001
01/29/16;-0.0643;-0.0062;-0.0149;0.0247;0.0228;0.0001
02/29/16;-0.0171;0.0147;0.0037;0.0065;0.0088;0.0002
03/31/16;0.067;0.0179;0.0119;0.0074;-0.0112;0.0002
04/29/16;0.0238;-0.0056;0.0335;-0.0188;0.009;0.0001
05/31/16;-0.0038;0.0141;-0.0287;0.0176;-0.0048;0.0001
06/30/16;-0.0501;-0.0224;-0.0164;0.0325;0.0282;0.0002
07/29/16;0.0444;0.0151;0.0021;0.0007;-0.0086;0.0002
08/31/16;0.0078;0.017;0.0193;-0.0192;-0.0001;0.0002
09/30/16;0.0095;0.0097;-0.0015;0.0032;0.0003;0.0002
10/31/16;-0.0308;-0.005;0.0636;-0.0385;0.0296;0.0002
11/30/16;-0.025;0.01;0.0192;-0.0154;0.0187;0.0001
12/30/16;0.0472;-0.0082;0.0199;-0.009;0.0105;0.0003
01/31/17;0.0284;0.0212;0.0047;-0.0024;0.0018;0.0004
02/28/17;0.0068;0.0003;-0.026;0.0273;-0.0132;0.0004
03/31/17;0.0427;-0.0128;0.005;0.0012;-0.0028;0.0003
04/28/17;0.0463;0.0194;-0.013;0.016;-0.0132;0.0005
